winner;from;to
00002000;485022;485104
00002000;485480;485561
00002000;485938;486018
00002000;486396;486475
00002000;486854;486932
00002000;487312;487390
00002000;487770;487848
00002000;488228;488306
00002000;488686;488764
00002000;489144;489222
00002000;489602;489680
00002000;490060;490138
00002000;490518;490596
00002000;490976;491054
00002000;491434;491512
00002000;491892;491970
00002000;492350;492428
00002000;492808;492886
00002000;493266;493344
00002000;493724;493802
00002000;494182;494260
00002000;494640;494718
00002000;495098;495176
00002000;495556;495634
00002000;496014;496092
00002000;496472;496550
00002000;496930;497008
00002000;497388;497466
00002000;497846;497924
00002000;498304;498382
00002000;498762;498840
00002000;499220;499298
00002000;499678;499756
00002000;500136;500214
00002000;500594;500672
00002000;501052;501130
00002000;501510;501588
00002000;501968;502046
00002000;502426;502504
00002000;502884;502980
00002000;503342;503439
00002000;503800;503898
00002000;504258;504357
00002000;504716;504816
00002000;505174;505275
00002000;505632;505734
00002000;506090;506193
00002000;506548;506652
00002000;507006;507111
00002000;507464;507570
00002000;507922;508029
00002000;508380;508488
00002000;508838;508947
00002000;509296;509406
00002000;509754;509865
00002000;510212;510324
00002000;510670;510783
00002000;511128;511242
00002000;511586;511701
00002000;512044;512160
00002000;512502;512619
00002000;512960;513078
00002000;513418;513536
00002000;513876;513994
00002000;514334;514452
00002000;514792;514910
00002000;515250;515368
00002000;515708;515826
00002000;516166;516284
00002000;516624;516742
00002000;517082;517200
00002000;517540;517658
00002000;517998;518116
00002000;518456;518574
00002000;518914;519032
00002000;519372;519490
00002000;519830;519948
00002000;520288;520406
00002000;520746;520864
00002000;521204;521322
00002000;521662;521780
00002000;522120;522238
00002000;522578;522696
00002000;523036;523154
00002000;523494;523612
00002000;523952;524070
00002000;524410;524528
00002000;524868;524986
00002000;525326;525443
00002000;525784;525900
00002000;526242;526357
00002000;526700;526814
00002000;527158;527271
00002000;527616;527728
00002000;528074;528185
00002000;528532;528642
00002000;528990;529099
00002000;529448;529556
00002000;529906;530013
00002000;530364;530470
00002000;530822;530927
00002000;531280;531384
00002000;531738;531841
00002000;532196;532298
00002000;532654;532755
00002000;533112;533212
00002000;533570;533669
00002000;534028;534126
00002000;534486;534583
00002000;534944;535040
00002000;535402;535497
00002000;535860;535954
00002000;536318;536411
00002000;536776;536868
00002000;537234;537325
00002000;537692;537782
00002000;538150;538239
00002000;538608;538696
00002000;539066;539153
00002000;539524;539610
00002000;539982;540067
00002000;540440;540524
00002000;540898;540981
00002000;541356;541438
00002000;541814;541895
00002000;542272;542352
00002000;542730;542809
00002000;543188;543267
00002000;543646;543725
00002000;544104;544183
00002000;544562;544641
00002000;545020;545099
00002000;545478;545557
00002000;545936;546015
00002000;546394;546473
00002000;546852;546931
00002000;547310;547389
00002000;547768;547847
00002000;548226;548305
00002000;548684;548763
00002000;549142;549221
00002000;549600;549679
00002000;550058;550137
00002000;550516;550595
00002000;550974;551053
00002000;551432;551511
00002000;551890;551969
00002000;552348;552427
00002000;552806;552885
00002000;553264;553343
00002000;553722;553801
00002000;554180;554259
00002000;554638;554717
00002000;555096;555175
00002000;555554;555633
00002000;556012;556091
00002000;556470;556549
00002000;556928;557007
00002000;557386;557465
00002000;557844;557923
00002000;558302;558381
00002000;558760;558857
00002000;559218;559316
00002000;559676;559775
00002000;560134;560234
00002000;560592;560693
00002000;561050;561152
00002000;561508;561611
00002000;561966;562070
00002000;562424;562529
00002000;562882;562988
00002000;563340;563447
00002000;563798;563906
00002000;564256;564365
00002000;564714;564824
00002000;565172;565283
00002000;565630;565742
00002000;566088;566201
00002000;566546;566660
00002000;567004;567119
00002000;567462;567578
00002000;567920;568037
00002000;568378;568496
00002000;568836;568954
00002000;569294;569412
00002000;569752;569870
00002000;570210;570328
00002000;570668;570786
00002000;571126;571244
00002000;571584;571702
00002000;572042;572160
00002000;572500;572618
00002000;572958;573076
00002000;573416;573534
00002000;573874;573992
00002000;574332;574450
00002000;574790;574908
00002000;575248;575366
00002000;575706;575824
00002000;576164;576282
00002000;576622;576740
00002000;577080;577198
00002000;577538;577656
00002000;577996;578114
00002000;578454;578572
00002000;578912;579030
00002000;579370;579488
